,_id,incident_key,occur_date,occur_time,boro,precinct,jurisdiction_code,statistical_murder_flag,perp_age_group,perp_sex,perp_race,vic_age_group,vic_sex,vic_race,x_coord_cd,y_coord_cd,latitude,longitude,geocoded_column,location_desc
0,60869a5c815bb5328a2fd826,69526318,2010-01-02T00:00:00.000,23:30:00,BROOKLYN,73,0,False,25-44,M,BLACK,25-44,M,BLACK,1007588,179461,40.65923314900005,-73.91588547299993,"{'type': 'Point', 'coordinates': [-73.91588547299993, 40.65923314900005]}",
1,60869a5c815bb5328a2fd827,69526299,2010-01-02T00:00:00.000,18:00:00,BROOKLYN,90,0,True,45-64,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,996787,196982,40.70734618100005,-73.95478236399998,"{'type': 'Point', 'coordinates': [-73.95478236399998, 40.70734618100005]}",GROCERY/BODEGA
2,60869a5c815bb5328a2fd828,69526317,2010-01-03T00:00:00.000,5:16:00,BRONX,47,0,False,UNKNOWN,U,UNKNOWN,18-24,M,BLACK,1021659,256781,40.871407969000074,-73.86473983999997,"{'type': 'Point', 'coordinates': [-73.86473983999997, 40.871407969000074]}",BAR/NIGHT CLUB
3,60869a5c815bb5328a2fd829,69526319,2010-01-03T00:00:00.000,18:10:00,BROOKLYN,66,0,False,25-44,M,BLACK,18-24,M,BLACK,991580,173226,40.64214714600007,-73.97358906299998,"{'type': 'Point', 'coordinates': [-73.97358906299998, 40.64214714600007]}",MULTI DWELL - APT BUILD
4,60869a5c815bb5328a2fd82a,69576831,2010-01-04T00:00:00.000,19:10:00,BROOKLYN,60,2,False,25-44,M,BLACK,25-44,M,BLACK,989043,154711,40.591329037000044,-73.98274384199993,"{'type': 'Point', 'coordinates': [-73.98274384199993, 40.591329037000044]}",MULTI DWELL - PUBLIC HOUS
5,60869a5c815bb5328a2fd82b,69581941,2010-01-05T00:00:00.000,20:20:00,BROOKLYN,73,2,False,18-24,M,BLACK,18-24,M,BLACK,1010475,182025,40.666262679000056,-73.90547003999995,"{'type': 'Point', 'coordinates': [-73.90547003999995, 40.66626267900006]}",MULTI DWELL - PUBLIC HOUS
6,60869a5c815bb5328a2fd82c,69643420,2010-01-06T00:00:00.000,13:50:00,STATEN ISLAND,120,0,False,18-24,M,BLACK,<18,M,BLACK,944798,170162,40.63365228900005,-74.14214181899997,"{'type': 'Point', 'coordinates': [-74.14214181899997, 40.63365228900005]}",
7,60869a5c815bb5328a2fd82d,69665449,2010-01-07T00:00:00.000,4:38:00,BROOKLYN,77,0,False,UNKNOWN,M,BLACK,25-44,M,BLACK,1005903,185476,40.67574726200007,-73.92193931099996,"{'type': 'Point', 'coordinates': [-73.92193931099996, 40.67574726200007]}",
8,60869a5c815bb5328a2fd82e,69729913,2010-01-08T00:00:00.000,23:35:00,QUEENS,114,0,True,25-44,M,BLACK,45-64,M,WHITE,1001328,217529,40.76373502300004,-73.93835150699994,"{'type': 'Point', 'coordinates': [-73.93835150699994, 40.763735023000045]}",
9,60869a5c815bb5328a2fd82f,69708092,2010-01-08T00:00:00.000,12:25:00,BRONX,44,0,False,,,,25-44,M,BLACK,1006912,241681,40.83001313200003,-73.91811231199993,"{'type': 'Point', 'coordinates': [-73.91811231199993, 40.83001313200003]}",
