,arrest_key,arrest_date,pd_cd,pd_desc,ky_cd,ofns_desc,law_code,law_cat_cd,arrest_boro,arrest_precinct,jurisdiction_code,age_group,perp_sex,perp_race,x_coord_cd,y_coord_cd,latitude,longitude,lon_lat
0,76698682,2011-01-04T00:00:00.000,155.0,RAPE 2,104.0,RAPE,PL 1303001,F,B,41,0.0,18-24,M,BLACK,1013232.0,236725.0,40.816391847000034,-73.89529641399997,"{'type': 'Point', 'coordinates': [-73.89529641399997, 40.816391847000034]}"
1,76699374,2011-01-04T00:00:00.000,157.0,RAPE 1,104.0,RAPE,PL 1303503,F,M,25,0.0,<18,F,WHITE HISPANIC,1000555.0,230994.0,40.800694331000045,-73.94110928599997,"{'type': 'Point', 'coordinates': [-73.94110928599997, 40.800694331000045]}"
2,76698794,2011-01-04T00:00:00.000,475.0,,,,PL 1651601,M,B,46,0.0,25-44,M,WHITE HISPANIC,1008685.0,248472.0,40.84864771900004,-73.91168083899998,"{'type': 'Point', 'coordinates': [-73.911680839, 40.84864771900004]}"
3,76699125,2011-01-04T00:00:00.000,490.0,"STOLEN PROPERTY 3,POSSESSION",232.0,POSSESSION OF STOLEN PROPERTY 5,PL 1654000,M,K,84,0.0,<18,F,BLACK,988175.0,190975.0,40.69086637500004,-73.98584805699994,"{'type': 'Point', 'coordinates': [-73.98584805699994, 40.69086637500004]}"
4,76699279,2011-01-04T00:00:00.000,511.0,"CONTROLLED SUBSTANCE, POSSESSION 7",235.0,DANGEROUS DRUGS,PL 2200300,M,M,33,1.0,45-64,M,BLACK,1000917.0,245710.0,40.841084919000025,-73.93976522599996,"{'type': 'Point', 'coordinates': [-73.93976522599996, 40.841084919000025]}"
5,76699410,2011-01-04T00:00:00.000,101.0,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,30,0.0,18-24,M,WHITE HISPANIC,999751.0,241188.0,40.82867545800008,-73.94398971599996,"{'type': 'Point', 'coordinates': [-73.94398971599996, 40.82867545800008]}"
6,76699074,2011-01-04T00:00:00.000,269.0,"MISCHIEF,CRIMINAL,    UNCL 2ND DEG 3RD DEG",121.0,CRIMINAL MISCHIEF & RELATED OFFENSES,PL 1450500,F,K,73,0.0,45-64,M,BLACK,1011028.0,185582.0,40.67602418800004,-73.90346255299994,"{'type': 'Point', 'coordinates': [-73.90346255299994, 40.67602418800004]}"
7,76699181,2011-01-04T00:00:00.000,339.0,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341.0,PETIT LARCENY,PL 1552500,M,K,62,0.0,18-24,M,ASIAN / PACIFIC ISLANDER,983955.0,156040.0,40.59497816600003,-74.00106366999995,"{'type': 'Point', 'coordinates': [-74.00106366999995, 40.59497816600003]}"
8,76698579,2011-01-04T00:00:00.000,101.0,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,47,0.0,25-44,M,BLACK,1024999.0,264249.0,40.89189049100002,-73.85261782499998,"{'type': 'Point', 'coordinates': [-73.85261782499998, 40.89189049100002]}"
9,76699715,2011-01-04T00:00:00.000,258.0,"CRIMINAL MISCHIEF 4TH, GRAFFITI",351.0,CRIMINAL MISCHIEF & RELATED OFFENSES,PL 1456002,M,Q,101,0.0,18-24,M,WHITE HISPANIC,1053650.0,158969.0,40.60274595100003,-73.75007786499998,"{'type': 'Point', 'coordinates': [-73.75007786499998, 40.60274595100003]}"
